id,state,Latitude,Longitude
0,Alabama,32.806671,-86.79113
1,Alaska,61.370716,-152.404419
2,Arizona,33.729759,-111.431221
3,Arkansas,34.969704,-92.373123
4,California,36.116203,-119.681564
5,Colorado,39.059811,-105.311104
6,Connecticut,41.597782,-72.755371
7,Delaware,39.318523,-75.507141
8,District of Columbia,38.897438,-77.026817
9,Florida,27.766279,-81.686783
10,Georgia,33.040619,-83.643074
11,Hawaii,21.094318,-157.498337
12,Idaho,44.240459,-114.478828
13,Illinois,40.349457,-88.986137
14,Indiana,39.849426,-86.258278
15,Iowa,42.011539,-93.210526
16,Kansas,38.5266,-96.726486
17,Kentucky,37.66814,-84.670067
18,Louisiana,31.169546,-91.867805
19,Maine,44.693947,-69.381927
20,Maryland,39.063946,-76.802101
21,Massachusetts,42.230171,-71.530106
22,Michigan,43.326618,-84.536095
23,Minnesota,45.694454,-93.900192
24,Mississippi,32.741646,-89.678696
25,Missouri,38.456085,-92.288368
26,Montana,46.921925,-110.454353
27,Nebraska,41.12537,-98.268082
28,Nevada,38.313515,-117.055374
29,New Hampshire,43.452492,-71.563896
30,New Jersey,40.298904,-74.521011
31,New Mexico,34.840515,-106.248482
32,New York,42.165726,-74.948051
33,North Carolina,35.630066,-79.806419
34,North Dakota,47.528912,-99.784012
35,Ohio,40.388783,-82.764915
36,Oklahoma,35.565342,-96.928917
37,Oregon,44.572021,-122.070938
38,Pennsylvania,40.590752,-77.209755
39,Rhode Island,41.680893,-71.51178
40,South Carolina,33.856892,-80.945007
41,South Dakota,44.299782,-99.438828
42,Tennessee,35.747845,-86.692345
43,Texas,31.054487,-97.563461
44,Utah,40.150032,-111.862434
45,Vermont,44.045876,-72.710686
46,Virginia,37.769337,-78.169968
47,Washington,47.400902,-121.490494
48,West Virginia,38.491226,-80.954453
49,Wisconsin,44.268543,-89.616508
50,Wyoming,42.755966,-107.30249
