id,date,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths,Latitude,Longitude
0,2020-06-13,Alabama,1,24601,773,24221.0,768.0,380.0,5.0,32.806671,-86.79113
1,2020-06-13,Alaska,2,722,10,722.0,10.0,0.0,0.0,61.370716,-152.404419
2,2020-06-13,Arizona,4,34773,1190,,,,,33.729759,-111.431221
3,2020-06-13,Arkansas,5,12095,177,12095.0,177.0,0.0,0.0,34.969704,-92.373123
4,2020-06-13,California,6,150418,5059,150418.0,5059.0,0.0,0.0,36.116203,-119.681564
5,2020-06-13,Colorado,8,29002,1598,,,,,39.059811,-105.311104
6,2020-06-13,Connecticut,9,44994,4186,,,,,41.597782,-72.755371
7,2020-06-13,Delaware,10,10229,419,,,,,39.318523,-75.507141
8,2020-06-13,District of Columbia,11,9709,511,9709.0,511.0,0.0,0.0,38.897438,-77.026817
9,2020-06-13,Florida,12,73544,2924,73544.0,2924.0,0.0,0.0,27.766279,-81.686783
10,2020-06-13,Georgia,13,54178,2411,54178.0,2411.0,0.0,0.0,33.040619,-83.643074
11,2020-06-13,Hawaii,15,711,17,,,,,21.094318,-157.498337
12,2020-06-13,Idaho,16,3399,87,3061.0,79.0,338.0,8.0,44.240459,-114.478828
13,2020-06-13,Illinois,17,133117,6491,132256.0,6310.0,861.0,181.0,40.349457,-88.986137
14,2020-06-13,Indiana,18,40535,2413,39543.0,2231.0,992.0,182.0,39.849426,-86.258278
15,2020-06-13,Iowa,19,23792,651,23792.0,651.0,0.0,0.0,42.011539,-93.210526
16,2020-06-13,Kansas,20,11195,244,,,,,38.5266,-96.726486
17,2020-06-13,Kentucky,21,12605,527,,,,,37.66814,-84.670067
18,2020-06-13,Louisiana,22,46396,3004,46283.0,2891.0,113.0,113.0,31.169546,-91.867805
19,2020-06-13,Maine,23,2757,100,2452.0,100.0,305.0,0.0,44.693947,-69.381927
20,2020-06-13,Maryland,24,61935,2926,61834.0,2799.0,101.0,127.0,39.063946,-76.802101
21,2020-06-13,Massachusetts,25,105395,7576,101070.0,7420.0,4325.0,156.0,42.230171,-71.530106
22,2020-06-13,Michigan,26,66024,6017,59757.0,5768.0,6267.0,249.0,43.326618,-84.536095
23,2020-06-13,Minnesota,27,30203,1314,30172.0,1283.0,31.0,31.0,45.694454,-93.900192
24,2020-06-13,Mississippi,28,19348,889,19216.0,873.0,132.0,16.0,32.741646,-89.678696
25,2020-06-13,Missouri,29,16327,890,16307.0,890.0,20.0,0.0,38.456085,-92.288368
26,2020-06-13,Montana,30,588,18,588.0,18.0,0.0,0.0,46.921925,-110.454353
27,2020-06-13,Nebraska,31,16634,221,16634.0,221.0,0.0,0.0,41.12537,-98.268082
28,2020-06-13,Nevada,32,10992,463,10992.0,463.0,0.0,0.0,38.313515,-117.055374
29,2020-06-13,New Hampshire,33,5299,318,5299.0,318.0,0.0,0.0,43.452492,-71.563896
30,2020-06-13,New Jersey,34,166605,12589,166605.0,12589.0,0.0,0.0,40.298904,-74.521011
31,2020-06-13,New Mexico,35,9621,431,9621.0,431.0,0.0,0.0,34.840515,-106.248482
32,2020-06-13,New York,36,387402,30565,382714.0,25877.0,4688.0,4688.0,42.165726,-74.948051
33,2020-06-13,North Carolina,37,42911,1135,42911.0,1135.0,0.0,0.0,35.630066,-79.806419
34,2020-06-13,North Dakota,38,3061,77,3058.0,74.0,3.0,3.0,47.528912,-99.784012
35,2020-06-13,Ohio,39,40848,2554,,,,,40.388783,-82.764915
36,2020-06-13,Oklahoma,40,8073,359,8073.0,359.0,0.0,0.0,35.565342,-96.928917
37,2020-06-13,Oregon,41,5543,175,2920.0,109.0,2623.0,66.0,44.572021,-122.070938
38,2020-06-13,Pennsylvania,42,82988,6264,,,,,40.590752,-77.209755
39,2020-06-13,Rhode Island,44,15947,833,15947.0,833.0,0.0,0.0,41.680893,-71.51178
40,2020-06-13,South Carolina,45,17955,599,17955.0,599.0,0.0,0.0,33.856892,-80.945007
41,2020-06-13,South Dakota,46,5833,75,5833.0,75.0,0.0,0.0,44.299782,-99.438828
42,2020-06-13,Tennessee,47,29616,465,29438.0,247.0,178.0,218.0,35.747845,-86.692345
43,2020-06-13,Texas,48,88120,1989,88002.0,1989.0,118.0,0.0,31.054487,-97.563461
44,2020-06-13,Utah,49,14061,139,14061.0,104.0,0.0,35.0,40.150032,-111.862434
45,2020-06-13,Vermont,50,1125,55,1125.0,55.0,0.0,0.0,44.045876,-72.710686
46,2020-06-13,Virginia,51,53869,1541,,,,,37.769337,-78.169968
47,2020-06-13,Washington,53,26920,1216,25867.0,1216.0,1053.0,0.0,47.400902,-121.490494
48,2020-06-13,West Virginia,54,2274,88,2198.0,88.0,76.0,0.0,38.491226,-80.954453
49,2020-06-13,Wisconsin,55,22638,694,22550.0,694.0,88.0,0.0,44.268543,-89.616508
50,2020-06-13,Wyoming,56,1050,18,832.0,,218.0,,42.755966,-107.30249
